FILING_SEQ_NO,AGEGRP,SALARIES,INCOME_HP,Income_BP,TOTAL_INCOME_OS,Aggregate_Income,TI_special_rates,tax_TI_special_rates,GTI,TTI,pitax
298901053,0,1892033,0,0,4650,1742033,0,0,1896683,1742033,358038
285219465,0,0,1663647,0,140905,1644552,0,0,1804552,1644552,327917
274473404,1,0,0,0,350387,331972,0,0,350387,331972,0
319871253,0,0,0,247300,35392,282692,0,0,282692,282692,0
340781238,0,0,0,325525,135,323481,0,0,325660,323481,2419
271340597,0,0,-101961,0,0,0,0,0,0,0,0
296074115,0,600315,0,0,0,457506,0,0,600315,457506,16223
311620537,0,0,0,612342,31,462342,0,0,612373,462342,16721
280552060,0,448495,0,0,0,396527,0,0,448495,396527,9942
292020854,2,1512040,67200,0,143210,1497450,0,0,1722450,1497450,256712
278788393,0,273676,0,0,26324,300000,0,0,300000,300000,0
290621367,0,0,0,306210,4930,276272,0,0,311140,276272,0
297620894,0,0,0,2403447,297334,2538315,299638,44946,3000419,2837953,650383
322436943,0,0,0,312414,0,298095,0,0,308175,298095,0
319595795,0,0,0,480847,0,480847,0,0,480847,480847,18627
340204375,0,0,0,425100,0,295100,0,0,425100,295100,0
279009752,0,0,0,300000,11000,311000,0,0,311000,311000,1133
302608077,0,0,1411535,0,24763,1426298,0,0,1436298,1426298,260476
276264444,0,1142777,0,0,17587,800026,0,0,1116414,800026,87555
298532660,0,0,0,0,350505,359905,0,0,537805,359905,6170
301344776,0,0,0,0,335900,253191,0,0,335900,253191,0
293013475,0,2923037,0,0,12868,2763180,0,0,2935905,2763180,673573
270162511,0,0,0,0,0,0,0,0,0,0,0
335490541,0,280000,0,0,18431,125863,0,0,298431,125863,0
320725505,0,890121,0,0,16036,752657,0,0,906157,752657,77797
279243794,0,1243314,-4413,0,12653,991774,0,0,1251554,991774,127055
305993958,0,52286305,0,0,0,52086305,0,0,52286305,52086305,18301581
277109404,0,735787,-23466,0,0,552919,0,0,712321,552919,36651
295260888,0,1952597,0,0,0,1802597,0,0,1952597,1802597,376752
330364484,0,0,0,0,7214,0,0,0,7214,0,0
271805397,0,392764,0,0,147,298551,0,0,392911,298551,0
290084392,1,1594179,-45084,0,33945,1433040,0,0,1583040,1433040,257409
328819534,0,0,0,0,52696,1236,0,0,52696,1236,0
290846904,0,1149925,0,0,0,979925,0,0,1149925,979925,124615
287982581,0,595311,0,0,0,430311,0,0,595311,430311,13422
337356236,0,0,0,298142,1169,277887,0,0,299311,277887,0
336875667,0,0,0,0,262950,262950,0,0,262950,262950,0
290631818,0,611716,0,0,229,461716,0,0,611945,461716,16657
282024203,0,2049840,-108771,0,0,1720443,0,0,1941069,1720443,351367
297579677,0,1200000,-200000,0,247527,1074225,0,0,1247527,1074225,151686
283086270,0,1357971,0,0,0,1207971,0,0,1357971,1207971,193013
291112672,0,0,358600,0,280000,488600,0,0,638600,488600,19426
289625701,0,834222,0,0,0,696126,0,0,834222,696126,66152
272351354,0,1145193,-36908,0,0,958285,0,0,1108285,958285,120157
298393851,0,573505,0,0,0,423505,0,0,573505,423505,12721
308708900,0,0,0,721738,145476,824759,0,0,867214,824759,92650
287848251,0,4657573,0,0,24010,4374961,0,0,4681583,4374961,1171613
291611899,0,1080490,0,0,5475,935965,0,0,1085965,935965,115559
283473429,1,0,0,0,365740,365740,0,0,365740,365740,1621
331643086,0,0,0,0,0,0,0,0,0,0,0
300400806,0,2400000,214200,0,298964,2757982,0,0,2913164,2757982,671966
288846216,0,775814,-147645,0,3613,478169,0,0,631782,478169,18351
291401160,0,1491311,0,0,5104,1151311,0,0,1496415,1151311,175505
272958861,2,448074,0,0,315003,543077,0,0,763077,543077,8874
325632686,0,0,0,0,4326,0,0,0,4326,0,0
290114436,0,1636932,0,0,22372,1509304,0,0,1659304,1509304,286125
291900695,0,1655000,0,0,18954,1777041,0,0,1961505,1777041,368856
290786305,0,1250864,-200000,0,3450,888245,0,0,1054314,888245,105728
315571646,0,0,0,0,12400,0,0,0,12400,0,0
280103851,0,570275,0,0,0,554603,0,0,570275,554603,36998
283920989,0,1472252,0,0,95581,1367833,0,0,1567833,1367833,242410
285193439,0,423590,0,0,0,325394,0,0,423590,325394,2616
317592654,0,0,0,0,0,0,0,0,0,0,0
274313446,0,1227925,-200000,0,0,861423,0,0,1027925,861423,100203
266723331,0,878628,0,0,0,728628,0,0,878628,728628,72847
307587427,0,0,134400,709370,23867,700739,0,0,867637,700739,67102
299908327,0,0,0,294975,3885,298450,0,0,298860,298450,0
279452022,0,814887,0,0,0,664887,0,0,814887,664887,59717
321586435,0,0,0,276061,248,263325,0,0,276309,263325,0
280947707,0,508001,0,0,0,358001,0,0,508001,358001,5974
304197060,0,0,0,597391,105312,312671,0,0,502703,312671,1305
283770384,0,761834,0,0,0,607217,0,0,761834,607217,47837
279382810,0,1311952,-315835,0,0,835485,0,0,996117,835485,94860
282105891,0,999327,0,0,3697,849327,0,0,1003024,849327,97711
325619119,0,0,0,1103592,30331,930000,0,0,1133923,930000,114330
293311468,0,8080751,0,0,75704,7742655,0,0,8156455,7742655,2212230
278451640,0,642810,0,0,1321,492810,0,0,644131,492810,19859
333379084,0,2237662,0,0,0,2087662,0,0,2237662,2087662,464838
335260915,1,0,0,0,0,0,0,0,0,0,0
289261634,0,0,0,280000,2747,280000,0,0,282747,280000,0
322345955,0,300000,0,0,134058,284058,0,0,434058,284058,0
286599381,0,1070144,0,0,0,933720,0,0,1070144,933720,115096
272268821,0,850420,0,0,0,754548,0,0,850420,754548,78187
328023611,0,1648403,-200000,0,7548,1298403,0,0,1455951,1298403,220957
285570144,0,0,0,0,276867,252599,0,0,276867,252599,0
348091751,0,1164452,0,82496,18062,872202,0,0,1032202,872202,102424
284701808,0,602024,0,0,3245,452024,0,0,605269,452024,15658
289426682,0,305357,0,0,0,201971,0,0,305357,201971,0
274619968,0,567718,0,0,0,387718,0,0,567718,387718,9035
285270432,0,8796736,0,0,195182,8631918,0,0,8791918,8631918,2487013
329591255,0,68949030,0,0,0,68749030,0,0,68949030,68749030,24222680
278730797,0,0,-200000,0,670,0,0,0,0,0,0
285783666,0,942507,0,0,0,830726,0,0,942507,830726,93880
339375252,0,540452,0,0,0,527404,0,0,540452,527404,31395
284829197,0,667714,0,0,6952,522994,0,0,674666,522994,30487
286624721,0,0,0,991972,1707497,2008424,640768,124751,2836692,2649192,568847
300405501,0,857787,0,0,2717,707763,0,0,860504,707763,68549
304062969,1,964961,0,844516,9812,1669289,0,0,1819289,1669289,330410
296161890,0,1478000,0,0,8918,1328618,0,0,1486918,1328618,230293
324151806,0,120000,52080,0,391919,403999,0,0,563999,403999,10712
300931610,0,0,0,0,323800,314800,0,0,323800,314800,1524
297509623,0,0,0,0,0,0,0,0,0,0,0
306538488,0,0,0,1137657,292677,1255334,0,0,1430334,1255334,207648
311568911,0,0,0,1724673,16898,1444679,63619,12724,1668298,1508298,279261
322035832,0,0,0,195470,0,195470,0,0,195470,195470,0
313088398,0,1403400,0,0,13259,1075455,0,0,1252489,1075455,152066
293675493,0,1324556,-145420,0,0,1016086,0,0,1179136,1016086,133721
272459242,0,637755,0,0,0,559959,0,0,637755,559959,38102
274762325,0,420569,0,0,0,325985,0,0,420569,325985,2676
283100552,0,1399120,-74990,0,0,1100479,0,0,1324130,1100479,159798
272839535,1,14800,0,325667,213057,418524,0,0,553524,418524,9012
285826405,0,2833100,9311,0,31264,2713675,0,0,2873675,2713675,658276
343004024,0,1240923,0,0,0,1090923,0,0,1240923,1090923,156845
272323194,1,221236,0,0,132907,354143,0,0,354143,354143,427
326679078,0,644383,-60000,0,22209,316592,0,0,606592,316592,1709
270625824,0,1144782,-12600,0,0,962384,0,0,1132182,962384,121001
272771866,0,1218366,0,0,8468,1101792,0,0,1226834,1101792,160204
338935169,0,0,0,0,158879,2813,0,0,158879,2813,0
288973458,0,737110,0,0,76572,654075,0,0,813682,654075,57489
330892443,0,0,0,0,0,0,0,0,0,0,0
285510006,0,538268,0,0,0,388268,0,0,538268,388268,9092
341395200,0,392184,0,153402,0,395586,0,0,545586,395586,9845
274411000,0,0,0,704031,147880,699691,0,0,851911,699691,66886
285060216,0,1220987,0,0,0,1070987,0,0,1220987,1070987,150685
297836249,0,9720,0,665990,0,525710,0,0,675710,525710,31046
313885698,0,1857272,-200000,0,0,1457272,0,0,1657272,1457272,270047
314234972,0,50000,0,0,10739,18920,0,0,60739,18920,0
281631730,0,3474994,0,0,75082,3291985,360345,72069,3808804,3652330,911204
305370043,0,0,694006,0,152687,669620,29451,4418,876144,699071,65242
330678178,0,0,0,0,11539,0,0,0,11539,0,0
293316646,0,0,0,200000,678922,598022,0,0,678922,598022,45943
269138600,0,0,0,312608,593,312608,0,0,313201,312608,1299
306126976,0,0,389223,0,33183,412406,0,0,422406,412406,11578
329235327,0,0,0,312500,0,312500,0,0,312500,312500,1288
286342999,0,623357,0,0,0,516677,0,0,623357,516677,29185
288160646,1,0,0,0,402160,252160,0,0,402160,252160,0
342229692,1,579955,0,0,0,494095,0,0,579955,494095,14842
272769988,0,998038,0,0,7487,772946,0,0,1005525,772946,81977
329284375,0,0,0,0,341,0,0,0,341,0,0
273725935,0,571811,0,0,0,421811,0,0,571811,421811,12547
305252244,0,579764,0,0,11416,439730,0,0,591180,439730,14392
314826307,0,798876,0,0,0,617655,0,0,798876,617655,49987
319501325,0,0,0,2577902,25194,1489398,0,0,1649398,1489398,279974
266772587,0,120198,0,185500,15239,310937,0,0,320937,310937,1127
305749626,0,120000,0,0,210824,177257,0,0,330824,177257,0
316775886,0,0,0,0,0,0,0,0,0,0,0
289893509,1,0,0,0,472551,462551,0,0,472551,462551,11593
334221304,1,0,0,1000875,2394,895189,0,0,1003269,895189,102009
305908262,0,0,0,421807,2640,344924,0,0,424447,344924,4627
322658058,0,713561,0,0,93333,656894,0,0,806894,656894,58070
268762483,0,0,0,513393,225374,728767,0,0,738767,728767,72876
333800947,0,0,0,0,81401,30335,0,0,81401,30335,0
291778095,0,726749,0,0,0,663000,0,0,726749,663000,59328
285306782,0,680688,0,0,0,549948,0,0,680688,549948,36039
281608835,0,1180325,0,0,0,1030325,0,0,1180325,1030325,138120
328762917,0,0,0,631475,21250,441782,0,0,652725,441782,14604
289805231,0,869704,376600,0,197182,1287088,0,0,1443486,1287088,217460
342701393,1,564652,0,0,65827,472906,0,0,630479,472906,12659
306493353,1,0,72100,2852394,470,2759494,0,0,2924964,2759494,667284
283598593,0,411190,0,0,19786,329376,0,0,430976,329376,3026
278817347,1,1644914,0,0,796108,2250359,0,0,2441022,2250359,509961
281293932,0,380190,0,0,0,230190,0,0,380190,230190,0
299119252,0,0,0,819040,0,778980,0,0,819040,778980,83220
337121842,0,809844,0,0,5000,695256,0,0,814844,695256,65973
346407878,0,0,0,0,0,0,0,0,0,0,0
332879934,0,1259490,0,0,0,1105265,0,0,1259490,1105265,161277
291505936,0,0,0,1122091,29262,992364,0,0,1151353,992364,127177
312556498,0,0,1335307,0,79336,1229643,729895,79327,2144538,1959538,281416
306690516,0,0,0,612468,14444,516912,0,0,626912,516912,29234
305805269,0,1047826,0,0,0,897826,0,0,1047826,897826,107702
337214209,0,246000,0,0,26480,269980,0,0,272480,269980,0
295260084,0,1035213,0,0,3566,885213,0,0,1038779,885213,105104
324708403,0,0,0,971754,3977,855754,0,0,975731,855754,99035
289806978,0,941765,0,0,0,775233,0,0,941765,775233,82448
328715913,0,0,0,298459,1917,279106,0,0,300376,279106,0
303624167,0,605352,0,0,0,455352,0,0,605352,455352,16001
295132951,1,0,0,0,1376835,1366835,0,0,1376835,1366835,236952
287777350,0,798596,0,0,0,648596,0,0,798596,648596,56361
328934526,0,0,615000,0,5574897,6014300,0,0,6189897,6014300,1678169
373436766,0,1560033,0,0,3100,1436902,0,0,1563133,1436902,263753
298518774,0,0,0,0,1250,0,0,0,1250,0,0
271984188,0,2392520,-181858,0,0,2060662,0,0,2210662,2060662,456495
301813471,0,839441,0,56276,8550,734316,4993,749,909260,739309,74791
317127908,0,1066254,0,550080,3000,1440135,2320,348,1621654,1442455,265110
291004826,0,457923,0,0,0,374005,0,0,457923,374005,7623
284398822,0,76470919,0,0,0,76270919,0,0,76470919,76270919,26895584
319552280,0,0,0,397907,94,335607,0,0,398001,335607,3668
307281118,0,0,0,324084,0,324084,0,0,324084,324084,2481
274873955,0,1445405,0,0,75725,1367322,0,0,1521130,1367322,242252
283573354,1,552530,0,0,206140,758670,0,0,758670,758670,73886
318101695,0,736000,0,0,48000,609000,0,0,784000,609000,48204
283914975,0,653783,0,0,0,580510,0,0,653783,580510,42335
268228341,0,0,0,276236,0,276236,0,0,276236,276236,0
309548569,0,0,0,6570492,185352,6531758,0,0,6687620,6531758,1838063
288933621,0,5552421,0,0,26117,5413325,5213,782,5578538,5418538,1493273
273712365,0,846019,-56000,0,23007,778639,0,0,813026,778639,83150
287219659,0,723640,0,0,33445,555764,0,0,757085,555764,37237
274993971,2,0,157850,140560,703359,851769,0,0,1001769,851769,72464
324135980,1,0,745684,153134,81693,950787,0,0,980511,950787,113462
284551021,0,940864,0,0,41880,817050,0,0,982744,817050,91062
283877452,0,875602,-76078,0,0,649524,0,0,799524,649524,56552
299708989,0,652252,0,0,0,470104,0,0,652252,470104,17521
295334671,1,401960,0,0,20049,415864,0,0,422009,415864,6784
312940876,0,0,0,1687002,1922,1593431,0,0,1688924,1593431,312120
318520380,0,3004812,-300000,0,0,2229812,0,0,2704812,2229812,508762
332316642,0,0,0,0,0,0,0,0,0,0,0
298813437,1,0,0,0,0,0,0,0,0,0,0
290894070,0,1075638,-69961,0,0,855677,0,0,1005677,855677,99019
328024593,0,0,0,299319,13649,234323,0,0,254142,234323,0
335667203,0,0,0,0,0,0,0,0,0,0,0
291652657,0,0,0,0,131071,0,0,0,131071,0,0
284564322,0,657867,0,0,0,507867,0,0,657867,507867,27371
327500031,0,3876396,-180256,0,0,3494886,0,0,3696140,3494886,899670
291066668,0,552820,0,0,0,420391,0,0,552820,420391,12400
310712347,0,0,0,1001304,0,851304,0,0,1001304,851304,98119
296069858,0,508376,-101011,0,0,257365,0,0,407365,257365,0
296154556,0,332600,0,147350,0,448790,0,0,479950,448790,15325
274341270,0,1602660,0,0,0,1449985,0,0,1602660,1449985,267795
270391864,0,0,0,0,5858,0,0,0,5858,0,0
279883601,0,1625184,0,0,0,1625184,0,0,1625184,1625184,321932
